MICROORGANISMO,ORIGEN DEL PROPàLEO,EFECTO REPORTADO
Bacillus subtilis,Campeche ,"Mart¡nez et al., 2010"
Enterobacter aerogene,Estado de M‚xico,"Londo¤o et al., 2010"
Enterobacter agglomerans,Estado de M‚xico,"Londo¤o et al., 2010"
Escherichia coli,"Estado de M‚xico, Campeche","Londo¤o et al., 2010"
Kleibsiella pneunomiae,Campeche,"Mart¡nez et al., 2010"
Pasteurella multocida,Guanajuato,"Guti‚rrez, 2011"
Pasteurella multocida,Quer‚taro,"Guti‚rrez, 2011"
Pasteurella multocida,Estado de M‚xico,"Guti‚rrez, 2011"
Pseudomonas aeruginosa,Campeche,"Mart¡nez et al., 2010"
Salmonella tiphy,Estado de M‚xico,"Londo¤o et al., 2010"
Shigella flexneri ,Campeche,"Mart¡nez et al.,2010"
Shiguella dysenteriae,Estado de M‚xico,"Londo¤o et al., 2010"
Staphylococcus aureus,Estado de M‚xico,"Londo¤o et al., 2010"
Staphylococcus epidermidis,Estado de M‚xico,"Londo¤o et al., 2010"
Streptpcoccus agalactie,Campeche,"Mart¡nez et al.,2010"
Vibrio cholerae,Estado de M‚xico,"Londo¤o et al., 2010"
"Yersenia, enterocolitica",Estado de M‚xico,"Londo¤o et al., 2010"
