Entidad,CRIA_ABEJAS_REINA_2017,ABEJAS_REINA_PRODUCIDAS_CERTIFICADAS_2017,CRIA_ABEJAS_REINA_PROGENITORAS_2017,ABEJAS_REINA_PRODUCIDAS_NO_CERTIFICADAS_2017,PRODUCTORES_DE_NUCLEOS_PRODUCIDOS_2017,NUCLEOS_PRODUCIDOS_2017,CRIA_ABEJAS_REINA_2018,CRIA_ABEJAS_REINA_2018Prod,CRIA_ABEJAS_REINA_PROGENITORAS_2018,CRIA_ABEJAS_REINA_PROGENITORAS_2018Prod,PRODUCTORES_DE_NUCLEOS_O_PAQUETES_DE_ABEJAS_2018,PRODUCTORES_DE_NUCLEOS_O_PAQUETES_DE_ABEJAS_2018Prod,CRIA_ABEJAS_REINA_2019,CRIA_ABEJAS_REINA_2019Prod,CRIA_ABEJAS_REINA_PROGENITORAS_2019,CRIA_ABEJAS_REINA_PROGENITORAS_2019Prod,PRODUCTORES_DE_NUCLEOS_O_PAQUETES_DE_ABEJAS_2019,PRODUCTORES_DE_NUCLEOS_O_PAQUETES_DE_ABEJAS_2019Prod
Aguascalientes,1,4000,,5000,4,3000,1,4000,,,,,,,1,100,1,700
Baja California,,,,,,,,,,,,,,,,,,
Baja California Sur,,,,,,220,,,,,,,,,,,,
Campeche,4,1200,,1100,10,4400,1,1200,,,15,20800,,,,,6,7600
Coahuila,1,,,7,1,157,,,,,,,2,4000,,,2,2000
Colima,1,4000,,1000,1,1500,,,,,,,,,,,,
Chiapas,,,,,,,,,,,,,,,,,,
Chihuahua,1,15000,1,3500,8,12000,1,15000,1,Conforme a demanda,4,4200,,,,,,
Ciudad de México,1,,,120,,,,,,,,,,,,,,
Durango,,,,,2,1500,,,,,1,500,1,2000,,,2,1500
Guanajuato,,,,,,,,,,,,,,,,,1,500
Guerrero,5,,,6000,8,10000,,,,,,,,,,,,
Hidalgo,1,,,4500,,,,,,,,,,,,,,
Jalisco,1,4500,,90000,1,6000,,,,,,,,,,,,
Estado de México,1,2000,,3500,1,210,1,2000,,,1,1000,1,2000,,,,
Michoacán,3,43000,,,4,7500,3,43000,,,3,7500,1,30000,,,3,4500
Morelos,6,49275,2,5327,5,11989,7,49300,2,Conforme a demanda,5,3900,5,44500,,,5,3900
Nayarit,1,24000,,,1,1600,2,29000,,,,,2,29000,,,,
Nuevo León,3,,,14400,,500,,,,,,,,,,,,
Oaxaca,5,,,3000,4,4000,,,,,1,1500,,,,,,
Puebla,1,9500,,15000,1,7500,,,,,,,,,,,,
Querétaro,,,,,,,,,,,,,,,,,,
Quintana Roo,,,,,,,1,2500,,,,,,,,,1,630
San Luis Potosi,1,3000,,2000,1,2000,,,,,,,,,,,,
Sinaloa,2,16000,,,3,13500,,,,,,,,,,,,
Sonora,,,,,1,1500,,,,,,,,,,,1,1000
Tabasco,1,,,450,,,,,,,,,,,,,,
Tamaulipas,,,,,1,800,,,,,,,,,,,,
Tlaxcala,6,,,6,5,,,,,,,,,,,,,
Veracruz,3,35000,1,11500,2,4000,2,40000,1,Conforme a demanda,,,3,50000,1,50,2,1800
Yucatán,,,,,,,,,,,,,,,,,,
Zacatecas,,,,,1,1300,,,,,,,,,,,,
