Entidad,CRIA_ABEJAS_REINA_2017,CRIA_ABEJAS_REINA_2018,CRIA_ABEJAS_REINA_2019,ABEJAS_REINA_PRODUCIDAS_CERTIFICADAS_2017,CRIA_ABEJAS_REINA_2018Prod,CRIA_ABEJAS_REINA_2019Prod
Aguascalientes,1,1,,4000,4000,
Baja California,,,,,,
Baja California Sur,,,,,,
Campeche,4,1,,1200,1200,
Coahuila,1,,2,,,4000
Colima,1,,,4000,,
Chiapas,,,,,,
Chihuahua,1,1,,15000,15000,
Ciudad de México,1,,,,,
Durango,,,1,,,2000
Guanajuato,,,,,,
Guerrero,5,,,,,
Hidalgo,1,,,,,
Jalisco,1,,,4500,,
Estado de México,1,1,1,2000,2000,2000
Michoacán,3,3,1,43000,43000,30000
Morelos,6,7,5,49275,49300,44500
Nayarit,1,2,2,24000,29000,29000
Nuevo León,3,,,,,
Oaxaca,5,,,,,
Puebla,1,,,9500,,
Querétaro,,,,,,
Quintana Roo,,1,,,2500,
San Luis Potosi,1,,,3000,,
Sinaloa,2,,,16000,,
Sonora,,,,,,
Tabasco,1,,,,,
Tamaulipas,,,,,,
Tlaxcala,6,,,,,
Veracruz,3,2,3,35000,40000,50000
Yucatán,,,,,,
Zacatecas,,,,,,
