Año,Total,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2003,"57,041","2,799","3,638","4,631","7,551","4,911","3,513","2,313","1,287","3,343","6,910","7,704","8,441"
2004,"56,908","3,317","4,573","4,855","7,414","6,252","4,154","1,678","1,224","2,722","4,204","8,375","8,140"
2005,"50,634","2,831","2,900","3,661","6,653","7,797","3,128","1,123","1,427","2,231","4,512","8,717","5,654"
2006,"55,962","3,080","3,597","6,389","6,641","6,710","3,211","1,271","1,087","2,590","5,186","9,245","6,955"
2007,"55,459","2,700","3,639","6,291","7,753","6,575","3,781","2,544","1,412","1,952","4,930","7,712","6,170"
2008,"59,682","2,746","3,355","6,540","8,337","6,428","4,963","1,860","1,604","2,540","5,932","9,452","5,925"
2009,"56,069","2,986","2,808","4,581","6,958","8,184","5,051","1,330","1,404","2,278","5,529","8,911","6,049"
2010,"55,686","2,552","2,971","5,460","6,394","7,002","5,963","1,301","1,317","2,025","5,637","8,131","6,933"
2011,"57,777","2,268","3,225","7,288","9,370","7,065","5,726","1,023",874,"1,627","5,518","8,104","5,689"
2012,"58,604","2,291","4,026","5,922","7,545","8,000","4,266",999,483,"1,680","5,689","9,284","8,419"
2013,"56,906","2,872","2,704","4,067","8,017","8,167","4,268","1,074","1,112","1,300","5,767","9,602","7,956"
2014,"59,691","2,000","3,631","5,523","8,016","8,569","4,634","1,000",490,"1,257","5,033","9,824","9,714"
2015,"61,871","2,190","3,483","4,783","10,671","10,606","4,210","1,359",548,"1,497","4,695","8,916","8,913"
2016,"55,079","2,018","2,819","2,935","8,790","9,115","3,922","1,343",964,"1,842","4,849","8,824","7,658"
2017,"50,989","1,906","2,419","2,746","7,314","7,026","3,464","1,600",536,"1,409","5,049","9,474","8,046"
