Estado,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
TOTAL NACIONAL,57045,56920,50631,55971,55460,59686,56070,55685,57785,58601,56907,59693,61884,55086,50998,65936.774,61985
AGUASCALIENTES,300,305,272,430,197,331,396,270,217,326,371,551,616,664,653,497.083,582
BAJA CALIFORNIA,152,161,153,110,97,153,143,85,91,80,90,84,87,89,81,100.707,120
BAJA CALIFORNIA SUR,296,203,196,214,312,301,271,279,266,228,280,270,256,225,202,219.741,219
CAMPECHE,6412,5323,5853,6016,8206,8817,7006,5435,8344,7716,5715,7074,7736,5571,3767,8309.634,7520
COAHUILA,316,317,237,234,235,234,245,280,289,257,221,233,266,236,190,226.598,224
COLIMA,357,367,390,374,380,379,363,299,332,401,432,446,408,445,463,492.519,488
CHIAPAS,3372,3377,3381,3182,3487,3780,4270,4574,4708,4945,5101,5117,5144,5213,5324,5610.21,5500
CHIHUAHUA,918,1164,598,646,518,570,581,612,238,379,688,680,583,709,437,453.299,641
DISTRITO FEDERAL,84,96,77,81,92,84,91,91,79,87,93,77,88,96,101,96.67,99
DURANGO,506,685,648,692,713,854,895,510,508,485,451,459,462,476,487,495.467,466
GUANAJUATO,475,625,520,749,353,447,552,623,464,455,431,410,803,710,548,609.822,565
GUERRERO,4278,4112,4141,4101,4072,4175,3752,3179,3028,2344,1998,1946,2079,2057,2101,2070.215,2029
HIDALGO,775,763,787,869,1092,994,839,892,925,959,1158,1174,1320,1133,1235,1430.195,1358
JALISCO,6050,5698,5334,5903,5843,6150,5259,5839,5740,5940,6635,7076,5047,4590,5815,5866.351,5948
MÉXICO,1122,1213,1117,1197,1261,1227,1195,1265,1202,1215,1175,1172,1097,1067,952,1010.987,929
MICHOACÁN,1678,1776,1636,1861,1858,1779,1693,1743,1728,1691,1982,1957,1905,2085,1701,1875.917,2037
MORELOS,467,931,925,781,795,994,1010,1063,791,1042,1376,1568,1655,1873,1924,1945.877,1928
NAYARIT,353,421,295,414,428,428,435,381,387,364,409,427,358,377,339,442.728,422
NUEVO LEÓN,453,462,377,403,456,477,504,961,295,157,321,257,97,99,167,219.924,188
OAXACA,2314,2639,2879,2903,2901,2938,3512,3565,3620,3782,3798,3768,3826,4150,4078,4535.467,4668
PUEBLA,3220,3231,2792,2914,2843,2978,3190,3212,3115,3137,2558,2369,2528,2194,2435,2526.12,2477
QUERÉTARO,64,84,69,88,108,88,91,109,58,150,139,177,135,31,50,116.794,77
QUINTANA ROO,2504,2573,1832,2640,2333,2188,2170,2270,2268,2159,3188,3351,3480,2885,3044,3726.553,3255
SAN LUIS POTOSÍ,986,1061,986,1010,1011,1009,907,955,973,892,973,897,1058,1085,1037,1206.702,1126
SINALOA,1083,1083,977,810,488,582,520,486,340,302,175,194,192,194,134,191.145,178
SONORA,542,452,743,378,369,387,340,377,250,516,410,432,526,583,540,528.214,569
TABASCO,203,189,167,173,160,142,157,193,235,277,272,310,341,353,381,402.944,399
TAMAULIPAS,506,491,496,565,601,638,653,652,613,631,617,638,666,800,694,884.27,608
TLAXCALA,597,497,987,1066,1062,1088,1100,1127,570,1066,1207,1219,1088,911,985,1071.489,748
VERACRUZ,6773,5771,3740,5263,3383,4188,3985,4400,4293,4576,4564,4124,4754,4766,4704,5034.707,4798
YUCATÁN,8427,9375,6644,8417,8483,9774,8373,8302,10195,10405,8111,9654,11629,7490,4351,11847.311,9810
ZACATECAS,1462,1475,1382,1487,1323,1512,1572,1656,1623,1637,1968,1582,1654,1929,2078,1891.114,2009
