Delegacion_Sagarpa,Cultivos,Colmenas
Sinaloa ,"Pepino, melón, sandia, calabaza y cártamo ","35,000"
Sonora ,"Hortalizas, cucurbitáceas ","24,018"
 Chihuahua," Pepino, melón, manzana ","20,000"
 Michoacán ,"Aguacate, fresa, melón ","20,000"
Colima,"Mango, melón, sandia ","8,000"
Tamaulipas," Hortalizas, cítricos","8,000"
San Luis Potosí,"Cítricos, melón, sandia y hortalizas ","6,200"
Baja California,Fresa,"2,150"
Durango,Manzana,"2,000"
Coahuila,Manzana,"1,800"
Guanajuato,"Pepinillo, calabacita ","1,600"
La Laguna ,Melón y sandia ,"1,530"
Nuevo León ,Cítricos ,"1,500"
Nayarit ,"Aguacate, melón, sandia, mango ","1,200"
Otras ,,"2,588"
Total ,,"135,586"
