num,Entidad,Toneladas
1,Aguascalientes,0
2,Baja California,1.1
3,Baja California Sur,9.3
4,Campeche,83.5
5,Coahuila,8
6,Colima,19.7
7,Chiapas,136.6
8,Chihuahua,2.8
9,Ciudad de México,0
10,Durango,24.5
11,Guanajuato,0
12,Guerrero,76.6
13,Hidalgo,50.2
14,Jalisco,199
15,Estado de México,28.4
16,Michoacán,66.9
17,Morelos,0
18,Nayarit,7.6
19,Nuevo León,4.4
20,Oaxaca,148.3
21,Puebla,72.5
22,Querétaro,2.8
23,Quintana Roo,96.1
24,San Luis Potosí,37.9
25,Sinaloa,1.1
26,Sonora,0
27,Tabasco,11.7
28,Tamaulipas,28.9
29,Tlaxcala,32.8
30,Veracruz,192.4
31,Yucatán,258.8
32,Zacatecas,81.6
