entidad,terrenos_ganadería_ejidal,superficie_total_ganadería_ejidal_ha,terrenos_ganadería_comunal,superficie_total_ganadería_comunal_ha,terrenos_ganadería_privada,superficie_total_ganadería_privada_ha
Aguascalientes,13,43.43,0,0,1,0.63
Baja California,4,1440.45,3,6210.08,3,13.63
Baja California Sur,0,0,0,0,10,1626.32
Campeche,1167,187637.19,0,0,123,29433.1
Coahuila,0,0,0,0,1,28.17
Colima,1,0.76,0,0,0,0
Chiapas,93,1277.25,2,4.22,33,610.42
Chihuahua,4,39.56,0,0,1,2.61
Ciudad de México,0,0,1,0.56,6,6.31
Durango,4,14.38,1,31.48,1,23.98
Guanajuato,42,31.05,0,0,5,60.61
Guerrero,36,125.56,18,408.62,6,15.22
Hidalgo,67,83.46,24,18.95,7,64.92
Jalisco,28,129.1,5,141.38,12,313.33
Estado de México,7,12.63,10,5.11,11,59.17
Michoacán ,22,61.6,0,0,10,241.42
Morelos,16,10.37,1,1.69,2,2.82
Nayarit,5,20.8,0,0,0,0
Nuevo León,0,0,0,0,1,3.52
Oaxaca,57,1472.92,107,1878.9,6,44.39
Puebla,12,18.45,1,0.52,8,28.95
Querétaro,3,6.88,0,0,1,3.3
Quintana Roo,955,63689.06,0,0,40,20635.03
San Luis Potosí,36,77.31,25,13.5,14,275.68
Sinaloa,2,20.75,0,0,1,54.88
Sonora,2,1307.73,0,0,5,865.55
Tabasco,9,60.75,0,0,2,53.08
Tamaulipas,23,126.9,0,0,11,478.32
Tlaxcala,1,3.1,0,0,4,2.83
Veracruz,34,169.7,1,5.96,12,302.17
Yucatán,3314,229642.88,6,74.92,423,43259.09
Zacatecas,12,52.82,0,0,7,331.63
