Entidad,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aguascalientes,2949,4250,6600,7000,8040,7217,10788,5136,9411,15065,9740,9542,13060,14107,21911
Baja California,4189,5977,3065,3791,4041,4243,3186,2981,5346,5197,3269,4111,3758,4269,3989
Baja California Sur,3640,4652,6635,6236,4591,4824,5694,8620,10533,9085,10526,11013,9724,12307,11597
Campeche,107534,120180,116033,129807,124135,142941,117737,170205,184124,177668,144317,244700,211932,160701,225644
Coahuila de Zaragoza,4822,5785,5407,6863,6978,6111,6035,6358,5736,8974,10648,10620,9913,9839,11659
Colima,7634,6679,5651,7017,9122,10058,9087,9765,8624,10661,9409,10656,14962,18991,20108
Chiapas,43393,51903,58213,65748,75300,87038,83272,94123,84149,118234,138729,157899,173355,177111,185858
Chihuahua,8775,10208,11954,21256,28753,14958,17276,14240,14968,19247,21632,9122,15492,31911,30425
Ciudad de México,1960,2150,2500,2055,2483,2353,2418,2918,1879,3487,3106,2608,3146,3842,3346
Durango,9254,6867,7847,11511,16391,19324,17488,18794,20645,28973,19240,20454,20729,31956,21314
Guanajuato,4210,15930,17550,11175,15225,14199,18180,8826,11876,15431,19205,17103,17154,17733,17394
Guerrero,74695,58829,67861,87606,88889,103319,107826,110559,82577,84692,79653,98178,85525,82804,78556
Hidalgo,18894,16099,14410,21736,23867,22136,25724,34771,30312,26403,29639,34048,36134,43935,44424
Jalisco,96450,128859,104563,137263,137631,143114,160242,171998,188002,163862,185860,190238,204574,277243,292935
México,13839,20583,21398,27094,30867,30370,26964,29810,31435,47181,54998,54944,58306,62052,57542
Michoacán de Ocampo,38366,39258,37953,36268,41632,42346,49022,50407,49300,63178,67103,76105,74709,95267,88779
Morelos,3335,18609,10137,11045,25960,28094,22488,24323,32602,41797,48575,37156,51926,70959,61081
Nayarit,11143,5848,11287,8427,10905,7740,9924,10539,11669,13248,12292,15263,14781,18499,17620
Nuevo León,6690,5175,7105,7463,9391,9776,10133,11855,10210,13164,27623,10020,5317,11659,10250
Oaxaca,46053,47722,53137,55994,66699,76552,79771,82209,73686,94981,95812,96515,127065,139133,141010
Puebla,57418,60263,65617,67764,78951,72007,75951,75663,72384,103951,109680,113752,122022,108512,94822
Querétaro,1893,2156,1715,1488,2377,2479,2412,3057,2456,3379,4390,2549,6392,5894,7482
Quintana Roo,60286,37149,36116,55099,60942,50357,56564,41647,34735,51700,59305,62202,58056,86124,107829
San Luis Potosí,15532,17145,17953,23147,26566,25327,24431,25600,24376,24431,28612,35624,34978,42233,37488
Sinaloa,30256,30531,25825,26806,27652,27956,20964,13396,16322,15623,16029,12083,11926,8001,8753
Sonora,5895,7564,4867,12211,11983,14870,6961,6475,8965,10121,12338,8714,19667,17933,18907
Tabasco,2780,2400,4660,5061,4942,4640,4428,4273,3752,5024,6683,8351,10195,10922,12303
Tamaulipas,12813,9541,9914,10904,12918,13867,13198,14435,15641,22114,23593,25659,27502,27582,28197
Tlaxcala,8478,11372,8465,11445,11386,25486,28040,29134,27735,37149,40207,21651,43084,61438,51069
Veracruz de Ignacio de la Llave,96716,94752,102000,124633,134186,98095,130811,84390,104340,135011,160725,161068,183464,201640,162891
Yucatán,160868,131279,153948,171208,211481,173224,155955,157811,181458,228764,218302,296698,270135,230247,341729
Zacatecas,35265,27021,32531,33703,37566,38066,38284,35316,39858,50564,54661,55546,63821,84037,66992
